time,symbol,side,price,volume,commission,pnl,tags
2025-09-12 01:45:00,rb888,sell,3081.0,1,3.081,0.0,
2025-09-12 02:30:00,rb888,buy,3091.0,1,3.091,-10.0,close
2025-09-12 02:45:00,rb888,buy,3092.0,1,3.092,0.0,
2025-09-12 03:15:00,rb888,sell,3113.0,1,3.113,21.0,close
2025-09-15 01:45:00,rb888,sell,3123.0,1,3.123,0.0,
2025-09-15 03:15:00,rb888,buy,3138.0,1,3.1380000000000003,-15.0,close
2025-09-15 05:30:00,rb888,buy,3139.0,1,3.1390000000000002,0.0,
2025-09-15 06:00:00,rb888,sell,3125.0,1,3.125,-14.0,close
2025-09-16 03:00:00,rb888,sell,3155.0,1,3.1550000000000002,0.0,
2025-09-16 05:45:00,rb888,buy,3169.0,1,3.169,-14.0,close
2025-09-16 06:00:00,rb888,buy,3170.0,1,3.1700000000000004,0.0,
2025-09-16 13:00:00,rb888,sell,3157.0,1,3.157,-13.0,close
2025-09-17 01:00:00,rb888,sell,3148.0,1,3.148,0.0,
2025-09-17 03:00:00,rb888,buy,3159.0,1,3.1590000000000003,-11.0,close
2025-09-17 05:45:00,rb888,buy,3162.0,1,3.1620000000000004,0.0,
2025-09-18 02:00:00,rb888,sell,3147.0,1,3.1470000000000002,-15.0,close
2025-09-18 02:30:00,rb888,sell,3134.0,1,3.1340000000000003,0.0,
2025-09-18 05:30:00,rb888,buy,3140.0,1,3.14,-6.0,close
2025-09-19 01:15:00,rb888,buy,3159.0,1,3.1590000000000003,0.0,
2025-09-19 13:00:00,rb888,sell,3172.0,1,3.172,13.0,close
2025-09-19 13:15:00,rb888,buy,3191.0,1,3.1910000000000003,0.0,
2025-09-22 03:15:00,rb888,sell,3181.0,1,3.181,-10.0,close
2025-09-22 06:00:00,rb888,sell,3179.0,1,3.1790000000000003,0.0,
2025-09-22 06:30:00,rb888,buy,3191.0,1,3.1910000000000003,-12.0,close
2025-09-23 02:00:00,rb888,sell,3163.0,1,3.1630000000000003,0.0,
2025-09-24 01:00:00,rb888,buy,3154.0,1,3.1540000000000004,9.0,close
2025-09-24 01:45:00,rb888,buy,3154.0,1,3.1540000000000004,0.0,
2025-09-24 06:15:00,rb888,sell,3169.0,1,3.169,15.0,close
2025-09-25 01:00:00,rb888,sell,3158.0,1,3.1580000000000004,0.0,
2025-09-25 02:45:00,rb888,buy,3169.0,1,3.169,-11.0,close
2025-09-25 13:15:00,rb888,sell,3155.0,1,3.1550000000000002,0.0,
2025-09-26 01:30:00,rb888,buy,3145.0,1,3.145,10.0,close
2025-09-26 13:45:00,rb888,sell,3110.0,1,3.1100000000000003,0.0,
2025-09-30 03:15:00,rb888,buy,3089.0,1,3.089,21.0,close
2025-10-09 02:00:00,rb888,buy,3094.0,1,3.0940000000000003,0.0,
2025-10-09 03:15:00,rb888,sell,3076.0,1,3.076,-18.0,close
2025-10-09 05:45:00,rb888,buy,3093.0,1,3.093,0.0,
2025-10-13 01:00:00,rb888,sell,3077.0,1,3.077,-16.0,close
2025-10-13 01:15:00,rb888,sell,3070.0,1,3.0700000000000003,0.0,
2025-10-13 02:30:00,rb888,buy,3084.0,1,3.084,-14.0,close
2025-10-14 01:00:00,rb888,sell,3061.0,1,3.061,0.0,
2025-10-15 03:15:00,rb888,buy,3042.0,1,3.0420000000000003,19.0,close
2025-10-15 05:45:00,rb888,sell,3027.0,1,3.027,0.0,
2025-10-15 06:30:00,rb888,buy,3042.0,1,3.0420000000000003,-15.0,close
2025-10-16 01:30:00,rb888,buy,3038.0,1,3.0380000000000003,0.0,
2025-10-16 03:15:00,rb888,sell,3026.0,1,3.0260000000000002,-12.0,close
2025-10-16 06:30:00,rb888,buy,3045.0,1,3.045,0.0,
2025-10-17 13:00:00,rb888,sell,3040.0,1,3.04,-5.0,close
2025-10-17 13:15:00,rb888,buy,3075.0,1,3.075,0.0,
2025-10-17 14:00:00,rb888,sell,3059.0,1,3.059,-16.0,close
2025-10-20 02:45:00,rb888,sell,3048.0,1,3.048,0.0,
2025-10-21 03:15:00,rb888,buy,3063.0,1,3.063,-15.0,close
2025-10-21 14:15:00,rb888,sell,3049.0,1,3.049,0.0,
2025-10-22 01:15:00,rb888,buy,3060.0,1,3.06,-11.0,close
2025-10-22 01:45:00,rb888,buy,3061.0,1,3.061,0.0,
2025-10-23 03:15:00,rb888,sell,3075.0,1,3.075,14.0,close
2025-10-23 13:00:00,rb888,sell,3061.0,1,3.061,0.0,
2025-10-24 02:45:00,rb888,buy,3043.0,1,3.043,18.0,close
2025-10-24 13:00:00,rb888,buy,3076.0,1,3.076,0.0,
2025-10-27 13:00:00,rb888,sell,3101.0,1,3.101,25.0,close
2025-10-27 13:15:00,rb888,buy,3113.0,1,3.113,0.0,
2025-10-28 01:30:00,rb888,sell,3099.0,1,3.099,-14.0,close
2025-10-28 02:00:00,rb888,sell,3095.0,1,3.095,0.0,
2025-10-28 13:00:00,rb888,buy,3114.0,1,3.1140000000000003,-19.0,close
2025-10-29 14:45:00,rb888,buy,3139.0,1,3.1390000000000002,0.0,
2025-10-30 01:15:00,rb888,sell,3130.0,1,3.1300000000000003,-9.0,close
