date,direction,trend_code,daily_close
2026-05-12,多头,1,
2026-05-13,多头,1,
2026-05-14,多头,1,
2026-05-15,多头,1,
2026-05-18,多头,1,
2026-05-19,空头,-1,
2026-05-20,空头,-1,
2026-05-21,空头,-1,
2026-05-22,空头,-1,
2026-05-25,空头,-1,
2026-05-26,空头,-1,
2026-05-27,空头,-1,
2026-05-28,空头,-1,
2026-05-29,空头,-1,
2026-06-01,空头,-1,
2026-06-02,空头,-1,
2026-06-03,多头,1,
2026-06-04,多头,1,
2026-06-05,多头,1,
2026-06-08,空头,-1,
2026-06-09,多头,1,
2026-06-10,空头,-1,
2026-06-11,空头,-1,
2026-06-12,多头,1,
2026-06-15,空头,-1,
2026-06-16,多头,1,
2026-06-17,多头,1,
2026-06-18,空头,-1,
2026-06-22,空头,-1,
2026-06-23,空头,-1,
2026-06-24,空头,-1,
2026-06-25,空头,-1,
2026-06-26,空头,-1,
2026-06-29,空头,-1,
